Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;99061000-2;Liberty Compañia de Seguros Generales S.A;4291598;22/12/2017;26/12/2017 12:57:19;;0;39651;7534;;;47185;;;;;0;;;;0;;;;
2;33;Del Giro;78488790-1;PANELES AISLANTES MULTIPANEL SPA;1945;26/12/2017;26/12/2017 16:25:52;;0;941630;178910;;;1120540;;;;;0;;;;0;;;;
3;33;Del Giro;76113730-1;A ARRIVECO CONTENEDORES LIMITADA;1409;28/12/2017;28/12/2017 14:08:20;;0;120000;22800;;;142800;;;;;0;;;;0;;;;
4;33;Del Giro;88147600-2;HORMIGONES TRANSEX LTDA.;115162;26/12/2017;28/12/2017 16:58:49;;0;666072;126554;;;792626;;;;;0;;;;0;;;;
5;33;Del Giro;88147600-2;HORMIGONES TRANSEX LTDA.;115504;26/12/2017;28/12/2017 16:58:49;;0;12057;2291;;;14348;;;;;0;;;;0;;;;
6;33;Del Giro;7333127-7;MARCELA DEL CARMEN BUSTAMANTE AGUILAR;62133;29/12/2017;29/12/2017 14:22:30;;0;10710;2035;;;15000;;;;;0;;;;0;28;2255;0;
7;33;Del Giro;90635000-9;Telefónica Chile S.A;40783840;01/01/2018;02/01/2018 10:25:28;;0;43629;8290;;;51919;;;;;0;;;;0;;;;
8;33;Del Giro;76113730-1;A ARRIVECO CONTENEDORES LIMITADA;1417;02/01/2018;02/01/2018 11:36:32;;0;170000;32300;;;202300;;;;;0;;;;0;;;;
9;33;Del Giro;96792430-K;SODIMAC S.A.;88037508;02/01/2018;02/01/2018 11:52:45;;0;12973;2465;;;15438;;;;;0;;;;0;;;;
10;33;Del Giro;76821330-5;IMPERIAL S.A.;12932339;02/01/2018;03/01/2018 08:15:31;;0;639986;121597;;;761583;;;;;0;;;;0;;;;
11;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;49498;03/01/2018;03/01/2018 10:39:17;;0;18913;3593;;;36000;;;;;0;;;;0;35;13494;0;
12;33;Del Giro;76821330-5;IMPERIAL S.A.;12936383;03/01/2018;03/01/2018 14:13:22;;0;1003662;190696;;;1194358;;;;;0;;;;0;;;;
13;33;Del Giro;76821330-5;IMPERIAL S.A.;12936555;03/01/2018;03/01/2018 14:13:22;;0;338416;64299;;;402715;;;;;0;;;;0;;;;
14;33;Del Giro;76338631-7;SOCIEDAD COMERCIALIZADORA DE ARIDOS ECAVAL LIMITADA;1563;30/12/2017;03/01/2018 14:47:35;;0;66000;12540;;;78540;;;;;0;;;;0;;;;
15;33;Del Giro;96720830-2;BCI FACTORING S.A.;381261;31/12/2017;03/01/2018 14:54:16;;0;203359;38638;;;241997;;;;;0;;;;0;;;;
16;33;Del Giro;97030000-7;Banco del Estado de Chile;4896439;02/01/2018;03/01/2018 16:35:55;;0;4931;937;;;5868;;;;;0;;;;0;;;;
17;33;Del Giro;7333127-7;MARCELA DEL CARMEN BUSTAMANTE AGUILAR;62603;03/01/2018;03/01/2018 17:25:38;;0;10708;2035;;;15000;;;;;0;;;;0;28;2257;0;
18;33;Del Giro;6585455-4;LIGIA ALFONSINA BRAVO BUSTOS;4548;04/01/2018;04/01/2018 11:55:45;;0;4118;782;;;4900;;;;;0;;;;0;;;;
19;33;Del Giro;14395118-9;GERARDO LUIS FELIPE HERRERA PEREIRA;2340;04/01/2018;04/01/2018 12:09:52;;0;55277;10503;;;65780;;;;;0;;;;0;;;;
20;33;Del Giro;78921690-8;WOM S.A.;2410703;01/01/2018;04/01/2018 23:20:09;;0;86168;16372;;;102540;;;;;0;;;;0;;;;
21;33;Del Giro;7333127-7;MARCELA DEL CARMEN BUSTAMANTE AGUILAR;62701;04/01/2018;04/01/2018 14:33:53;;0;3636;691;;;5000;;;;;0;;;;0;28;673;0;
22;33;Del Giro;76821330-5;IMPERIAL S.A.;12947310;06/01/2018;06/01/2018 14:02:09;;0;21908;4162;;;26070;;;;;0;;;;0;;;;
23;33;Del Giro;76821330-5;IMPERIAL S.A.;12947311;06/01/2018;06/01/2018 14:02:09;;0;37280;7083;;;44363;;;;;0;;;;0;;;;
24;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;15840644;05/01/2018;07/01/2018 00:22:05;;0;5614;1067;;;6681;;;;;0;;;;0;;;;
25;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;15840894;05/01/2018;07/01/2018 00:22:05;;0;9470;1799;;;11269;;;;;0;;;;0;;;;
26;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;49572;08/01/2018;08/01/2018 10:07:07;;0;19906;3782;;;37538;;;;;0;;;;0;35;13850;0;
27;33;Del Giro;80125100-5;BOTTAI S.A.;215265;08/01/2018;08/01/2018 12:45:02;;0;89800;17062;;;106862;;;;;0;;;;0;;;;
28;33;Del Giro;99147000-K;BCI SEGUROS GENERALES S.A.;7371728;04/01/2018;08/01/2018 13:43:56;;0;6081;1155;;;7236;;;;;0;;;;0;;;;
29;33;Del Giro;7333127-7;MARCELA DEL CARMEN BUSTAMANTE AGUILAR;63150;08/01/2018;08/01/2018 17:35:57;;0;3636;691;;;5000;;;;;0;;;;0;28;673;0;
30;33;Del Giro;76821330-5;IMPERIAL S.A.;12951621;08/01/2018;08/01/2018 18:13:06;;0;249347;47376;;;296723;;;;;0;;;;0;;;;
31;33;Del Giro;76821330-5;IMPERIAL S.A.;12952691;09/01/2018;09/01/2018 10:13:14;;0;14891;2829;;;17720;;;;;0;;;;0;;;;
32;33;Del Giro;96554050-4;FIJACIONES DE ACERO LTDA.;49808;09/01/2018;09/01/2018 12:34:03;;0;24190;4596;;;28786;;;;;0;;;;0;;;;
33;33;Del Giro;76497541-3;COMERCIAL MISLE ROMEO COMPANIA LIMITADA;29231;09/01/2018;09/01/2018 13:47:24;;0;3662;696;;;5000;;;;;0;;;;0;28;642;0;
34;33;Del Giro;76821330-5;IMPERIAL S.A.;12957864;10/01/2018;10/01/2018 12:13:42;;0;265700;50483;;;316183;;;;;0;;;;0;;;;
35;33;Del Giro;76662210-0;COMERCIAL PAIHUEN LIMITADA;43309;10/01/2018;10/01/2018 12:19:42;;0;3653;694;;;5000;;;;;0;;;;0;28;653;0;
36;33;Del Giro;76338631-7;SOCIEDAD COMERCIALIZADORA DE ARIDOS ECAVAL LIMITADA;1626;10/01/2018;10/01/2018 14:23:39;;0;192000;36480;;;228480;;;;;0;;;;0;;;;
37;33;Del Giro;76821330-5;IMPERIAL S.A.;12960532;10/01/2018;10/01/2018 20:13:09;;0;115827;22007;;;137834;;;;;0;;;;0;;;;
38;33;Del Giro;76821330-5;IMPERIAL S.A.;12960533;10/01/2018;10/01/2018 20:13:09;;0;67076;12745;;;79821;;;;;0;;;;0;;;;
39;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;50049;11/01/2018;11/01/2018 09:50:35;;0;21282;4044;;;40000;;;;;0;;;;0;35;14674;0;
40;33;Del Giro;76821330-5;IMPERIAL S.A.;12962042;11/01/2018;11/01/2018 13:42:47;;0;941;179;;;1120;;;;;0;;;;0;;;;
41;33;Del Giro;94625000-7;INVERSIONES ENEX S.A.;1035352;11/01/2018;11/01/2018 15:25:53;;0;7360;1398;;;10000;;;;;0;;;;0;28;1242;0;
42;33;Del Giro;76821330-5;IMPERIAL S.A.;12963497;11/01/2018;11/01/2018 16:12:26;;0;9731;1849;;;11580;;;;;0;;;;0;;;;
43;33;Del Giro;76821330-5;IMPERIAL S.A.;12963508;11/01/2018;11/01/2018 16:12:26;;0;23112;4391;;;27503;;;;;0;;;;0;;;;
44;33;Del Giro;96792430-K;SODIMAC S.A.;88256748;12/01/2018;12/01/2018 12:59:51;;0;21657;4115;;;25772;;;;;0;;;;0;;;;
45;33;Del Giro;76821330-5;IMPERIAL S.A.;12967149;12/01/2018;12/01/2018 14:21:03;;0;9316;1770;;;11086;;;;;0;;;;0;;;;
46;33;Del Giro;77704270-K;POLIETILENOS BIOPLASTIC CHILE LTDA;91788;12/01/2018;12/01/2018 15:06:27;;0;2661223;505632;;;3166855;;;;;0;;;;0;;;;
47;33;Del Giro;76629085-K;SOCIEDAD DE TRANSPORTES HERMANOS CORNEJO LIMITADA;156;15/01/2018;15/01/2018 10:24:21;;0;90000;17100;;;107100;;;;;0;;;;0;;;;
48;33;Del Giro;76821330-5;IMPERIAL S.A.;12972489;15/01/2018;15/01/2018 14:13:06;;0;181944;34569;;;216513;;;;;0;;;;0;;;;
49;33;Del Giro;76034384-6;COMERCIAL Y SERVICIOS C Y S LIMITADA;38926;15/01/2018;15/01/2018 15:40:53;;0;7300;1387;;;10000;;;;;0;;;;0;28;1313;0;
50;33;Del Giro;79706120-4;ESMAX RED LIMITADA;4807357;16/01/2018;16/01/2018 02:17:13;;0;3640;691;;;5000;;;;;0;;;;0;28;669;13.38;
51;33;Del Giro;77704270-K;POLIETILENOS BIOPLASTIC CHILE LTDA;91915;17/01/2018;17/01/2018 10:48:11;;0;174140;33087;;;207227;;;;;0;;;;0;;;;
52;33;Del Giro;76821330-5;IMPERIAL S.A.;12980011;17/01/2018;17/01/2018 18:13:16;;0;3193;607;;;3800;;;;;0;;;;0;;;;
53;33;Del Giro;76821330-5;IMPERIAL S.A.;12981075;18/01/2018;18/01/2018 10:03:54;;0;149065;28322;;;177387;;;;;0;;;;0;;;;
54;33;Del Giro;77704270-K;POLIETILENOS BIOPLASTIC CHILE LTDA;92036;18/01/2018;18/01/2018 10:07:51;;0;95987;18238;;;114225;;;;;0;;;;0;;;;
55;33;Del Giro;77704270-K;POLIETILENOS BIOPLASTIC CHILE LTDA;92037;18/01/2018;18/01/2018 10:10:47;;0;41318;7850;;;49168;;;;;0;;;;0;;;;
56;33;Del Giro;77896250-0;COMERCIAL MARCOLETA FRIEDL LTDA;32089;19/01/2018;19/01/2018 05:04:30;;0;3644;692;;;5000;;;;;0;;;;0;28;664;0;
57;33;Del Giro;76821330-5;IMPERIAL S.A.;12985889;19/01/2018;19/01/2018 12:03:04;;0;140103;26620;;;166723;;;;;0;;;;0;;;;
58;33;Del Giro;76821330-5;IMPERIAL S.A.;12987501;19/01/2018;19/01/2018 14:13:08;;0;111252;21138;;;132390;;;;;0;;;;0;;;;
59;33;Del Giro;76821330-5;IMPERIAL S.A.;12987522;19/01/2018;19/01/2018 14:13:08;;0;39196;7447;;;46643;;;;;0;;;;0;;;;
60;33;Del Giro;76497541-3;COMERCIAL MISLE ROMEO COMPANIA LIMITADA;30017;19/01/2018;19/01/2018 17:25:31;;0;3669;697;;;5000;;;;;0;;;;0;28;634;0;
61;33;Del Giro;14395118-9;GERARDO LUIS FELIPE HERRERA PEREIRA;2381;19/01/2018;19/01/2018 18:50:11;;0;7555;1435;;;8990;;;;;0;;;;0;;;;
62;33;Del Giro;76052927-3;Soc. Conc. Autopista Nueva Vespucio Sur S.A.;473915;20/01/2018;20/01/2018 12:34:25;;3750;419;80;;;4249;;;;;0;;;;0;;;;
63;33;Del Giro;76099850-8;COMERCIAL E INVERSIONES BORQUEZ HULSE LT;146830;20/01/2018;20/01/2018 12:38:41;;0;16081;3055;;;30044;;;;;0;;;;0;35;10908;0;
64;33;Del Giro;79706120-4;ESMAX RED LIMITADA;4814498;20/01/2018;20/01/2018 15:14:15;;0;10924;2076;;;15000;;;;;0;;;;0;28;2000;13.33;
65;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;50901;22/01/2018;22/01/2018 10:33:37;;0;17720;3367;;;33011;;;;;0;;;;0;35;11924;0;
66;33;Del Giro;76390858-5;SOCIEDAD COMERCIAL LANGBAS LIMITADA;70389;22/01/2018;22/01/2018 16:21:41;;0;7281;1383;;;10000;;;;;0;;;;0;28;1336;0;
67;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;50839;22/01/2018;22/01/2018 18:57:37;;0;16372;3111;;;30000;;;;;0;;;;0;35;10517;0;
68;33;Del Giro;76821330-5;IMPERIAL S.A.;12995266;23/01/2018;23/01/2018 10:13:19;;0;488616;92837;;;581453;;;;;0;;;;0;;;;
69;33;Del Giro;78488790-1;PANELES AISLANTES MULTIPANEL SPA;2006;23/01/2018;23/01/2018 11:31:14;31/01/2018 18:23:58;0;5370480;1020391;;;6390871;;;;;0;;;;0;;;;
70;33;Del Giro;76338631-7;SOCIEDAD COMERCIALIZADORA DE ARIDOS ECAVAL LIMITADA;1632;23/01/2018;23/01/2018 14:14:33;31/01/2018 18:54:07;0;384000;72960;;;456960;;;;;0;;;;0;;;;
71;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;15939657;22/01/2018;23/01/2018 14:18:16;31/01/2018 19:27:38;0;8045;1529;;;9574;;;;;0;;;;0;;;;
72;33;Del Giro;76451399-1;COMERCIALIZADORA LARRAIN E HIJOS Y COMPANIA LIMITADA;364;23/01/2018;23/01/2018 15:00:56;;0;100000;19000;;;119000;;;;;0;;;;0;;;;
73;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;50852;23/01/2018;23/01/2018 16:20:01;;0;13644;2592;;;25000;;;;;0;;;;0;35;8764;0;
74;33;Del Giro;76821330-5;IMPERIAL S.A.;12998010;23/01/2018;23/01/2018 16:29:40;;0;150302;28557;;;178859;;;;;0;;;;0;;;;
75;33;Del Giro;96792430-K;SODIMAC S.A.;86383315;23/01/2018;23/01/2018 17:15:31;;0;8220;1562;;;9782;;;;;0;;;;0;;;;
76;33;Del Giro;76455295-4;INVERSIONES LOS LAGOS SPA;5520;23/01/2018;23/01/2018 18:15:31;31/01/2018 19:27:38;0;3663;696;;;5000;;;;;0;;;;0;28;641;0;
77;33;Del Giro;76853420-9;GABRIELA ALEJANDRA NUNEZ MIRANDA MAQUINARIAS Y CONSTRUCCION EIRL;260;23/01/2018;23/01/2018 22:51:02;;0;306000;58140;;;364140;;;;;0;;;;0;;;;
78;33;Del Giro;79550730-2;COMERCIAL LARRAIN S.A.;1387742;24/01/2018;24/01/2018 10:03:21;31/01/2018 18:58:09;0;87093;16548;;;103641;;;;;0;;;;0;;;;
79;33;Del Giro;96792430-K;SODIMAC S.A.;88502764;24/01/2018;24/01/2018 12:04:44;;0;109611;20826;;;130437;;;;;0;;;;0;;;;
80;33;Del Giro;79706120-4;ESMAX RED LIMITADA;4828408;24/01/2018;24/01/2018 16:30:32;;0;3664;696;;;5000;;;;;0;;;;0;28;640;12.8;
81;33;Del Giro;76821330-5;IMPERIAL S.A.;13003267;24/01/2018;24/01/2018 21:09:20;;0;156182;29675;;;185857;;;;;0;;;;0;;;;
82;33;Del Giro;76821330-5;IMPERIAL S.A.;13003268;24/01/2018;24/01/2018 21:09:20;;0;25554;4855;;;30409;;;;;0;;;;0;;;;
83;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;51052;25/01/2018;25/01/2018 07:21:19;;0;18629;3540;;;34000;;;;;0;;;;0;35;11831;0;
84;33;Del Giro;10379683-0;JOSE ISIDRO MORAN PARADA;21;25/01/2018;25/01/2018 09:06:44;31/01/2018 17:55:10;0;2016000;383040;;;2399040;;;;;0;;;;0;;;;
85;33;Del Giro;76629366-2;CONSTRUCTORA ALTO BUIN ALEJANDRO SEPULVEDA E.I.R.L.;35;25/01/2018;25/01/2018 11:22:27;31/01/2018 18:01:48;0;3000000;570000;;;3570000;;;;;0;;;;0;;;;
86;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;51061;25/01/2018;25/01/2018 12:23:01;;0;21582;4101;;;40000;;;;;0;;;;0;35;14317;0;
87;33;Del Giro;77704270-K;POLIETILENOS BIOPLASTIC CHILE LTDA;92504;25/01/2018;25/01/2018 13:10:41;;0;169624;32229;;;201853;;;;;0;;;;0;;;;
88;33;Del Giro;76455295-4;INVERSIONES LOS LAGOS SPA;5579;25/01/2018;25/01/2018 13:45:28;31/01/2018 19:27:38;0;7326;1392;;;10000;;;;;0;;;;0;28;1282;0;
89;33;Del Giro;99061000-2;Liberty Compañia de Seguros Generales S.A;4308250;24/01/2018;25/01/2018 16:36:08;31/01/2018 19:27:38;0;39803;7563;;;47366;;;;;0;;;;0;;;;
90;33;Del Giro;76821330-5;IMPERIAL S.A.;13007167;25/01/2018;25/01/2018 18:27:51;;0;65378;12422;;;77800;;;;;0;;;;0;;;;
91;33;Del Giro;76111900-1;SOC COM Y DIST GABRIEL VASQUEZ Y CIA LTD;206600;27/01/2018;27/01/2018 10:50:35;;0;2939;558;;;4001;;;;;0;;;;0;28;504;0;
92;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;51208;27/01/2018;27/01/2018 10:57:34;;0;16244;3086;;;30000;;;;;0;;;;0;35;10670;0;
93;33;Del Giro;76821330-5;IMPERIAL S.A.;13013797;29/01/2018;29/01/2018 10:25:34;;0;629529;119610;;;749139;;;;;0;;;;0;;;;
94;33;Del Giro;79706120-4;ESMAX RED LIMITADA;4830314;29/01/2018;29/01/2018 11:44:21;;0;7281;1383;;;10000;;;;;0;;;;0;28;1336;13.36;
95;33;Del Giro;96792430-K;SODIMAC S.A.;88609525;29/01/2018;29/01/2018 11:43:30;;0;66050;12550;;;78600;;;;;0;;;;0;;;;
96;33;Del Giro;76821330-5;IMPERIAL S.A.;13016312;29/01/2018;29/01/2018 16:39:48;31/01/2018 19:27:38;0;16294;3096;;;19390;;;;;0;;;;0;;;;
97;33;Del Giro;96756430-3;CHILEXPRESS S.A.;6930598;30/01/2018;30/01/2018 12:13:13;;0;3190;606;;;3796;;;;;0;;;;0;;;;
98;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;51297;30/01/2018;30/01/2018 13:21:05;;0;16791;3190;;;23002;;;;;0;;;;0;28;3021;0;
99;33;Del Giro;79881570-9;SOC DE PLASTICOS Y FITTINGS INDUSTRIALES LIMITADA;255886;24/01/2018;30/01/2018 16:30:30;;0;4645;882;;;5527;;;;;0;;;;0;;;;
100;33;Del Giro;76629085-K;SOCIEDAD DE TRANSPORTES HERMANOS CORNEJO LIMITADA;158;31/01/2018;31/01/2018 08:16:05;;0;130000;24700;;;154700;;;;;0;;;;0;;;;
101;33;Del Giro;76821330-5;IMPERIAL S.A.;13022087;31/01/2018;31/01/2018 10:34:34;;0;171379;32562;;;203941;;;;;0;;;;0;;;;
102;33;Del Giro;76821330-5;IMPERIAL S.A.;13022204;31/01/2018;31/01/2018 10:34:34;31/01/2018 19:27:37;0;34308;6518;;;40826;;;;;0;;;;0;;;;
103;33;Del Giro;76113730-1;A ARRIVECO CONTENEDORES LIMITADA;1481;31/01/2018;31/01/2018 12:26:42;31/01/2018 18:56:13;0;120000;22800;;;142800;;;;;0;;;;0;;;;
104;34;Del Giro;96945440-8;SOC CONCESIONARIA AUTOPISTA CENTRAL S A;5219243;28/12/2017;28/12/2017 10:36:08;;53449;0;0;;;53449;;;;;0;;;;0;;;;
105;34;Del Giro;96945440-8;SOC CONCESIONARIA AUTOPISTA CENTRAL S A;5218851;28/12/2017;28/12/2017 10:37:54;;57411;0;0;;;57411;;;;;0;;;;0;;;;
106;34;Del Giro;96992030-1;Sociedad Concesionaria Vespucio Norte Express S.A.;4217574;12/01/2018;13/01/2018 20:49:10;;7285;0;0;;;7285;;;;;0;;;;0;;;;
107;34;Del Giro;76496130-7;Sociedad Concesionaria Costanera Norte S.A.;4537344;20/01/2018;20/01/2018 15:43:09;;10;0;0;;;10;;;;;0;;;;0;;;;
108;34;Del Giro;76052927-3;Soc. Conc. Autopista Nueva Vespucio Sur S.A.;6017815;20/01/2018;20/01/2018 19:01:36;;17404;0;0;;;17404;;;;;0;;;;0;;;;
109;34;Del Giro;76496130-7;Sociedad Concesionaria Costanera Norte S.A.;4551253;27/01/2018;27/01/2018 21:31:28;31/01/2018 19:18:39;7793;0;0;;;7793;;;;;0;;;;0;;;;
110;34;Del Giro;96945440-8;SOC CONCESIONARIA AUTOPISTA CENTRAL S A;5281507;29/01/2018;29/01/2018 15:58:41;31/01/2018 19:22:22;45961;0;0;;;45961;;;;;0;;;;0;;;;
111;34;Del Giro;96945440-8;SOC CONCESIONARIA AUTOPISTA CENTRAL S A;5282409;29/01/2018;29/01/2018 15:58:41;31/01/2018 19:22:22;40657;0;0;;;40657;;;;;0;;;;0;;;;
112;61;Del Giro;76821330-5;IMPERIAL S.A.;3159965;03/01/2018;03/01/2018 16:23:48;;0;54313;10319;;;64632;;;;;0;;;;0;;;;
113;61;Del Giro;76821330-5;IMPERIAL S.A.;3162217;09/01/2018;09/01/2018 16:22:39;;0;10257;1949;;;12206;;;;;0;;;;0;;;;
114;61;Del Giro;76821330-5;IMPERIAL S.A.;3162958;10/01/2018;10/01/2018 16:30:54;;0;10685;2030;;;12715;;;;;0;;;;0;;;;
115;61;Del Giro;76821330-5;IMPERIAL S.A.;3167266;19/01/2018;19/01/2018 16:24:02;;0;113248;21518;;;134766;;;;;0;;;;0;;;;
116;61;Del Giro;76821330-5;IMPERIAL S.A.;3169525;24/01/2018;24/01/2018 16:23:32;;0;57815;10985;;;68800;;;;;0;;;;0;;;;
